Robot Drawing Waypoints:
----------------------

Point 348: X=182, Y=224, Z=0, Pen=Down
Point 349: X=176, Y=218, Z=0, Pen=Down
Point 350: X=176, Y=217, Z=0, Pen=Down
Point 351: X=175, Y=216, Z=0, Pen=Down
Point 352: X=175, Y=215, Z=0, Pen=Down
Point 353: X=173, Y=213, Z=0, Pen=Down
Point 354: X=173, Y=211, Z=0, Pen=Down
Point 355: X=172, Y=210, Z=0, Pen=Down
Point 356: X=172, Y=208, Z=0, Pen=Down
Point 357: X=171, Y=207, Z=0, Pen=Down
Point 358: X=171, Y=201, Z=0, Pen=Down
Point 359: X=170, Y=200, Z=0, Pen=Down
Point 360: X=171, Y=199, Z=0, Pen=Down
Point 361: X=171, Y=193, Z=0, Pen=Down
Point 362: X=172, Y=192, Z=0, Pen=Down
Point 363: X=172, Y=190, Z=0, Pen=Down
Point 364: X=173, Y=189, Z=0, Pen=Down
Point 365: X=173, Y=187, Z=0, Pen=Down
Point 366: X=175, Y=185, Z=0, Pen=Down
Point 367: X=175, Y=184, Z=0, Pen=Down
Point 368: X=176, Y=183, Z=0, Pen=Down
Point 369: X=176, Y=182, Z=0, Pen=Down
Point 370: X=182, Y=176, Z=0, Pen=Down
Point 371: X=183, Y=176, Z=0, Pen=Down
Point 372: X=184, Y=175, Z=0, Pen=Down
Point 373: X=185, Y=175, Z=0, Pen=Down
Point 374: X=187, Y=173, Z=0, Pen=Down
Point 375: X=189, Y=173, Z=0, Pen=Down
Point 376: X=190, Y=172, Z=0, Pen=Down
Point 377: X=192, Y=172, Z=0, Pen=Down
Point 378: X=193, Y=171, Z=0, Pen=Down
Point 379: X=193, Y=171, Z=10, Pen=Up
Point 380: X=300, Y=170, Z=10, Pen=Up
Point 381: X=300, Y=170, Z=0, Pen=Down
Point 382: X=299, Y=171, Z=0, Pen=Down
Point 383: X=293, Y=171, Z=0, Pen=Down
Point 384: X=292, Y=172, Z=0, Pen=Down
Point 385: X=290, Y=172, Z=0, Pen=Down
Point 386: X=289, Y=173, Z=0, Pen=Down
Point 387: X=287, Y=173, Z=0, Pen=Down
Point 388: X=285, Y=175, Z=0, Pen=Down
Point 389: X=284, Y=175, Z=0, Pen=Down
Point 390: X=283, Y=176, Z=0, Pen=Down
Point 391: X=282, Y=176, Z=0, Pen=Down
Point 392: X=276, Y=182, Z=0, Pen=Down
Point 393: X=276, Y=183, Z=0, Pen=Down
Point 394: X=275, Y=184, Z=0, Pen=Down
Point 395: X=275, Y=185, Z=0, Pen=Down
Point 396: X=273, Y=187, Z=0, Pen=Down
Point 397: X=273, Y=189, Z=0, Pen=Down
Point 398: X=272, Y=190, Z=0, Pen=Down
Point 399: X=272, Y=192, Z=0, Pen=Down
Point 400: X=271, Y=193, Z=0, Pen=Down
Point 401: X=271, Y=199, Z=0, Pen=Down
Point 402: X=270, Y=200, Z=0, Pen=Down
Point 403: X=271, Y=201, Z=0, Pen=Down
Point 404: X=271, Y=207, Z=0, Pen=Down
Point 405: X=272, Y=208, Z=0, Pen=Down
Point 406: X=272, Y=210, Z=0, Pen=Down
Point 407: X=273, Y=211, Z=0, Pen=Down
Point 408: X=273, Y=213, Z=0, Pen=Down
Point 409: X=275, Y=215, Z=0, Pen=Down
Point 410: X=275, Y=216, Z=0, Pen=Down
Point 411: X=276, Y=217, Z=0, Pen=Down
Point 412: X=276, Y=218, Z=0, Pen=Down
Point 413: X=282, Y=224, Z=0, Pen=Down
Point 414: X=283, Y=224, Z=0, Pen=Down
Point 415: X=284, Y=225, Z=0, Pen=Down
Point 416: X=285, Y=225, Z=0, Pen=Down
Point 417: X=287, Y=227, Z=0, Pen=Down
Point 418: X=289, Y=227, Z=0, Pen=Down
Point 419: X=290, Y=228, Z=0, Pen=Down
Point 420: X=292, Y=228, Z=0, Pen=Down
Point 421: X=293, Y=229, Z=0, Pen=Down
Point 422: X=299, Y=229, Z=0, Pen=Down
Point 423: X=300, Y=230, Z=0, Pen=Down
Point 424: X=301, Y=229, Z=0, Pen=Down
Point 425: X=307, Y=229, Z=0, Pen=Down
Point 426: X=308, Y=228, Z=0, Pen=Down
Point 427: X=310, Y=228, Z=0, Pen=Down
Point 428: X=311, Y=227, Z=0, Pen=Down
Point 429: X=313, Y=227, Z=0, Pen=Down
Point 430: X=315, Y=225, Z=0, Pen=Down
Point 431: X=316, Y=225, Z=0, Pen=Down
Point 432: X=317, Y=224, Z=0, Pen=Down
Point 433: X=318, Y=224, Z=0, Pen=Down
Point 434: X=324, Y=218, Z=0, Pen=Down
Point 435: X=324, Y=217, Z=0, Pen=Down
Point 436: X=325, Y=216, Z=0, Pen=Down
Point 437: X=325, Y=215, Z=0, Pen=Down
Point 438: X=327, Y=213, Z=0, Pen=Down
Point 439: X=327, Y=211, Z=0, Pen=Down
Point 440: X=328, Y=210, Z=0, Pen=Down
Point 441: X=328, Y=208, Z=0, Pen=Down
Point 442: X=329, Y=207, Z=0, Pen=Down
Point 443: X=329, Y=201, Z=0, Pen=Down
Point 444: X=330, Y=200, Z=0, Pen=Down
Point 445: X=329, Y=199, Z=0, Pen=Down
Point 446: X=329, Y=193, Z=0, Pen=Down
Point 447: X=328, Y=192, Z=0, Pen=Down
Point 448: X=328, Y=190, Z=0, Pen=Down
Point 449: X=327, Y=189, Z=0, Pen=Down
Point 450: X=327, Y=187, Z=0, Pen=Down
Point 451: X=325, Y=185, Z=0, Pen=Down
Point 452: X=325, Y=184, Z=0, Pen=Down
Point 453: X=324, Y=183, Z=0, Pen=Down
Point 454: X=324, Y=182, Z=0, Pen=Down
Point 455: X=318, Y=176, Z=0, Pen=Down
Point 456: X=317, Y=176, Z=0, Pen=Down
Point 457: X=316, Y=175, Z=0, Pen=Down
Point 458: X=315, Y=175, Z=0, Pen=Down
Point 459: X=313, Y=173, Z=0, Pen=Down
Point 460: X=311, Y=173, Z=0, Pen=Down
Point 461: X=310, Y=172, Z=0, Pen=Down
Point 462: X=308, Y=172, Z=0, Pen=Down
Point 463: X=307, Y=171, Z=0, Pen=Down
